Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,46.400002,47.400002,46.220001,46.639999,46.639999,98015
2021-10-05,46.200001,47.040001,46.200001,46.840000,46.840000,71862
2021-10-06,46.340000,46.700001,45.500000,46.439999,46.439999,104183
2021-10-07,46.779999,47.240002,46.439999,47.020000,47.020000,78952
2021-10-08,47.279999,47.700001,47.020000,47.439999,47.439999,87442
2021-10-11,47.439999,47.599998,46.700001,47.020000,47.020000,58570
2021-10-12,46.520000,47.279999,46.200001,46.619999,46.619999,73061
2021-10-13,46.779999,47.580002,46.500000,47.220001,47.220001,104647
2021-10-14,47.980000,47.980000,46.980000,47.139999,47.139999,85268
2021-10-15,47.200001,47.560001,47.080002,47.220001,47.220001,125674
2021-10-18,46.900002,47.139999,46.340000,46.959999,46.959999,69727
2021-10-19,47.160000,47.700001,47.040001,47.540001,47.540001,96525
2021-10-20,47.560001,47.720001,47.139999,47.459999,47.459999,102398
2021-10-21,47.279999,47.660000,46.860001,47.560001,47.560001,73504
2021-10-22,47.720001,48.439999,47.520000,48.040001,48.040001,62046
2021-10-25,48.299999,48.299999,47.139999,47.580002,47.580002,79422
2021-10-27,48.139999,49.099998,47.919998,48.259998,48.259998,104139
2021-10-28,48.040001,48.900002,47.740002,48.740002,48.740002,66281
2021-10-29,48.700001,49.419998,48.560001,48.980000,48.980000,136322
2021-11-01,49.459999,49.919998,49.439999,49.700001,49.700001,62289
2021-11-02,49.500000,50.200001,49.500000,49.500000,49.500000,106377
2021-11-03,49.380001,49.660000,48.860001,49.299999,49.299999,106677
2021-11-04,49.880001,50.950001,49.500000,50.849998,50.849998,359787
2021-11-05,50.750000,50.750000,46.340000,46.880001,46.880001,560640
2021-11-08,47.500000,47.500000,46.500000,46.799999,46.799999,251555
2021-11-09,46.799999,47.160000,46.680000,46.779999,46.779999,114343
2021-11-10,46.900002,47.000000,46.040001,46.880001,46.880001,173400
2021-11-11,46.980000,47.000000,46.220001,46.639999,46.639999,95947
2021-11-12,46.540001,46.639999,46.060001,46.060001,46.060001,94800
2021-11-15,46.400002,46.500000,45.520000,46.080002,46.080002,123131
2021-11-16,46.299999,47.020000,46.119999,46.400002,46.400002,101939
2021-11-17,46.700001,47.439999,46.619999,47.320000,47.320000,101013
2021-11-18,47.279999,47.799999,46.400002,46.660000,46.660000,112202
2021-11-19,46.779999,47.259998,44.220001,44.799999,44.799999,247185
2021-11-22,44.900002,45.840000,44.799999,45.060001,45.060001,129820
2021-11-23,45.000000,45.080002,44.020000,44.299999,44.299999,127402
2021-11-24,44.500000,44.599998,43.820000,44.139999,44.139999,139016
2021-11-25,44.200001,44.720001,44.119999,44.599998,44.599998,46248
2021-11-26,43.720001,43.720001,41.200001,43.099998,43.099998,213074
2021-11-29,42.840000,43.459999,42.720001,42.799999,42.799999,117072
2021-11-30,42.500000,42.779999,41.299999,42.000000,42.000000,241076
2021-12-01,42.480000,43.060001,42.439999,42.840000,42.840000,90386
2021-12-02,42.599998,42.840000,42.160000,42.400002,42.400002,87121
2021-12-03,42.799999,43.380001,42.740002,42.919998,42.919998,138256
2021-12-06,43.900002,44.900002,43.599998,44.020000,44.020000,170151
2021-12-07,44.299999,45.259998,44.220001,45.139999,45.139999,127636
2021-12-08,45.000000,45.400002,44.259998,44.959999,44.959999,138320
2021-12-09,45.099998,45.200001,44.020000,44.680000,44.680000,119686
2021-12-10,44.500000,44.599998,44.139999,44.360001,44.360001,72271
2021-12-13,44.599998,45.160000,43.900002,43.900002,43.900002,111880
2021-12-14,44.060001,44.200001,43.119999,43.119999,43.119999,132609
2021-12-15,43.400002,43.880001,43.200001,43.759998,43.759998,159525
2021-12-16,43.980000,45.459999,43.980000,45.139999,45.139999,262012
2021-12-17,44.860001,45.459999,44.700001,45.000000,45.000000,261034
2021-12-20,44.160000,44.360001,43.500000,44.200001,44.200001,110204
2021-12-21,44.480000,45.220001,44.400002,45.160000,45.160000,105670
2021-12-22,45.299999,45.400002,44.279999,44.919998,44.919998,113680
2021-12-23,45.000000,45.580002,44.660000,45.119999,45.119999,146281
2021-12-27,45.099998,45.500000,44.700001,45.400002,45.400002,113475
2021-12-28,45.139999,45.779999,45.119999,45.419998,45.419998,35921
2021-12-29,45.520000,45.759998,45.099998,45.680000,45.680000,110614
2021-12-30,45.540001,45.680000,45.180000,45.380001,45.380001,55031
